"SYMBOL 
","PREV. CLOSE 
","IEP  PRICE 
","CHNG 
","%CHNG 
","FINAL PRICE 
","FINAL QUANTITY 
","VALUE ","FFM CAP ","NM 52W H 
","NM 52W L 
"
"GAIL","135.70","140.90","5.20","3.83","140.90",393660,"55,466,694.00","250,930,762,998.64","136.60","65.00"
"TATAMOTORS","220.65","227.00","6.35","2.88","227.00",997163,"226,356,001.00","395,317,612,032.44","225.40","63.50"
"AARTIIND","1,298.45","1,306.90","8.45","0.65","1,306.90",1494,"1,952,508.60","115,379,723,910.30","1,365.90","668.00"
"ZEEL","223.65","225.00","1.35","0.60","225.00",39626,"8,915,850.00","206,224,152,800.40","304.00","114.00"
"TATACONSUM","629.00","632.60","3.60","0.57","632.60",21663,"13,704,013.80","376,776,418,677.75","632.80","213.70"
"COALINDIA","141.70","142.50","0.80","0.56","142.50",51119,"7,284,457.50","296,907,925,338.21","214.60","109.55"
"CONCOR","439.55","441.95","2.40","0.55","441.95",4810,"2,125,779.50","120,516,898,798.53","602.20","263.40"
"GODREJCP","769.60","773.80","4.20","0.55","773.80",3287,"2,543,480.60","291,155,011,209.30","786.00","425.10"
"COLPAL","1,639.95","1,648.20","8.25","0.50","1,648.20",2254,"3,715,042.80","218,560,991,834.37","1,676.00","1,065.00"
"LALPATHLAB","2,375.65","2,387.60","11.95","0.50","2,387.60",291,"694,791.60","73,259,355,106.67","2,460.00","1,179.55"
"TORNTPHARM","2,851.45","2,865.00","13.55","0.48","2,865.00",553,"1,584,345.00","139,933,736,233.76","3,031.20","1,583.25"
"CADILAHC","493.70","496.00","2.30","0.47","496.00",13067,"6,481,232.00","126,355,429,787.88","499.25","202.00"
"DABUR","546.50","549.00","2.50","0.46","549.00",9720,"5,336,280.00","309,086,492,842.88","549.00","386.05"
"MGL","1,126.15","1,131.20","5.05","0.45","1,131.20",1728,"1,954,713.60","64,518,384,922.93","1,246.20","663.90"
"DRREDDY","5,416.80","5,440.95","24.15","0.45","5,440.95",1777,"9,668,568.15","657,586,653,366.62","5,512.65","2,495.05"
"AUROPHARMA","965.20","969.50","4.30","0.45","969.50",10813,"10,483,203.50","271,463,013,795.26","996.85","288.85"
"PVR","1,452.80","1,459.00","6.20","0.43","1,459.00",2038,"2,973,442.00","50,497,876,231.49","2,103.96","711.19"
"SUNTV","521.70","523.90","2.20","0.42","523.90",3011,"1,577,462.90","51,398,486,563.50","539.50","259.55"
"MARICO","430.35","431.95","1.60","0.37","431.95",10038,"4,335,914.10","222,280,014,463.92","432.50","234.00"
"CIPLA","856.85","860.00","3.15","0.37","860.00",11224,"9,652,640.00","435,332,105,234.37","860.00","355.30"
"PAGEIND","29,718.50","29,820.00","101.50","0.34","29,820.00",69,"2,057,580.00","172,367,730,323.88","30,084.20","16,254.00"
"BHARTIARTL","547.15","549.00","1.85","0.34","549.00",42725,"23,456,025.00","1,313,403,610,986.83","612.00","361.75"
"APOLLOHOSP","2,550.55","2,559.00","8.45","0.33","2,559.00",826,"2,113,734.00","244,843,515,258.34","2,591.85","1,047.05"
"GLENMARK","523.30","525.00","1.70","0.32","525.00",4364,"2,291,100.00","78,259,055,898.44","573.05","161.65"
"MINDTREE","1,762.40","1,768.00","5.60","0.32","1,768.00",1102,"1,948,336.00","89,993,655,835.50","1,780.00","692.00"
"LUPIN","1,075.50","1,078.90","3.40","0.32","1,078.90",4827,"5,207,850.30","258,450,321,595.28","1,122.30","504.75"
"BRITANNIA","3,612.85","3,624.00","11.15","0.31","3,624.00",1886,"6,834,864.00","426,408,301,369.76","4,010.00","2,100.00"
"RELIANCE","1,897.25","1,903.00","5.75","0.30","1,903.00",64876,"123,459,028.00","6,134,026,992,070.20","2,369.35","866.98"
"LT","1,350.00","1,354.00","4.00","0.30","1,354.00",5808,"7,864,032.00","1,630,342,024,056.00","1,384.95","661.00"
