"SYMBOL 
","PREV. CLOSE 
","IEP  PRICE 
","CHNG 
","%CHNG 
","FINAL PRICE 
","FINAL QUANTITY 
","VALUE ","FFM CAP ","NM 52W H 
","NM 52W L 
"
"TCS","3,120.90","3,230.00","109.10","3.50","3,230.00",107621,"347,615,830.00","3,279,028,880,107.51","3,128.00","1,506.05"
"INFY","1,312.10","1,342.10","30.00","2.29","1,342.10",126555,"169,849,465.50","4,862,369,224,896.59","1,316.80","509.25"
"HCLTECH","994.65","1,015.00","20.35","2.05","1,015.00",52707,"53,497,605.00","1,079,658,795,094.56","1,003.50","375.25"
"IDEA","11.75","11.95","0.20","1.70","11.95",532678,"6,365,502.10","94,539,430,599.60","13.50","2.70"
"HINDUNILVR","2,391.20","2,425.00","33.80","1.41","2,425.00",11976,"29,041,800.00","2,134,938,388,443.28","2,614.30","1,757.30"
"WIPRO","430.20","436.00","5.80","1.35","436.00",151152,"65,902,272.00","639,271,995,930.83","432.65","159.40"
"BANDHANBNK","419.40","424.90","5.50","1.31","424.90",33879,"14,395,187.10","283,663,785,213.65","526.00","152.20"
"HDFCBANK","1,431.65","1,450.00","18.35","1.28","1,450.00",92407,"133,990,150.00","6,229,179,266,891.26","1,464.40","738.75"
"ITC","201.50","204.00","2.50","1.24","204.00",115783,"23,619,732.00","1,760,420,054,311.88","243.90","134.60"
"ZEEL","231.15","234.00","2.85","1.23","234.00",65838,"15,406,092.00","213,139,785,020.40","304.00","114.00"
"PNB","35.40","35.80","0.40","1.13","35.80",262774,"9,407,309.20","85,309,288,675.95","64.10","26.30"
"MARUTI","8,014.90","8,099.00","84.10","1.05","8,099.00",6806,"55,121,794.00","1,065,302,248,073.36","8,060.00","4,001.10"
"TECHM","1,051.10","1,062.10","11.00","1.05","1,062.10",16807,"17,850,714.70","650,700,195,239.04","1,060.00","471.40"
"TORNTPOWER","335.95","339.40","3.45","1.03","339.40",7060,"2,396,164.00","56,512,123,004.68","368.90","231.95"
"BHEL","39.35","39.75","0.40","1.02","39.75",279832,"11,123,322.00","50,697,101,417.12","47.75","18.40"
"APOLLOTYRE","192.60","194.50","1.90","0.99","194.50",27530,"5,354,585.00","57,291,949,596.96","200.00","73.40"
"TORNTPHARM","2,851.90","2,880.00","28.10","0.99","2,880.00",561,"1,615,680.00","139,955,819,798.72","3,031.20","1,583.25"
"BPCL","400.15","404.00","3.85","0.96","404.00",20175,"8,150,700.00","321,169,799,639.29","510.00","252.00"
"GAIL","132.75","134.00","1.25","0.94","134.00",45569,"6,106,246.00","245,475,746,411.72","136.00","65.00"
"TATAMOTORS","198.15","199.90","1.75","0.88","199.90",101227,"20,235,277.30","355,006,502,715.74","201.70","63.50"
"HDFC","2,657.50","2,680.00","22.50","0.85","2,680.00",28211,"75,605,480.00","4,775,843,431,572.50","2,709.35","1,473.45"
"ONGC","100.65","101.50","0.85","0.84","101.50",83968,"8,522,752.00","367,199,479,604.33","126.75","50.00"
"BRITANNIA","3,575.25","3,603.80","28.55","0.80","3,603.80",3118,"11,236,648.40","421,970,543,884.26","4,010.00","2,100.00"
"HAVELLS","1,007.50","1,015.50","8.00","0.79","1,015.50",4405,"4,473,277.50","252,283,241,418.00","1,012.55","447.05"
"IDFCFIRSTB","44.40","44.75","0.35","0.79","44.75",173505,"7,764,348.75","93,186,344,908.80","47.60","17.65"
"BALKRISIND","1,721.85","1,735.00","13.15","0.76","1,735.00",3355,"5,820,925.00","139,802,545,512.63","1,733.45","679.00"
"AARTIIND","1,280.40","1,290.00","9.60","0.75","1,290.00",1263,"1,629,270.00","113,775,808,459.90","1,365.90","668.00"
"TITAN","1,548.60","1,560.00","11.40","0.74","1,560.00",5046,"7,871,760.00","646,168,054,266.72","1,621.35","720.90"
"SUNTV","527.90","531.65","3.75","0.71","531.65",3529,"1,876,192.85","52,009,317,724.50","539.50","259.55"
"SBIN","286.00","288.00","2.00","0.70","288.00",63434,"18,268,992.00","1,097,548,726,451.32","337.95","149.45"
"CHOLAFIN","431.80","434.80","3.00","0.69","434.80",4925,"2,141,390.00","169,887,510,624.10","446.55","117.40"
"PVR","1,455.00","1,465.00","10.00","0.69","1,465.00",3540,"5,186,100.00","50,574,346,033.05","2,103.96","711.19"
"BANKBARODA","65.55","66.00","0.45","0.69","66.00",56953,"3,758,898.00","78,748,316,325.20","99.00","36.00"
"ICICIGI","1,605.15","1,616.10","10.95","0.68","1,616.10",537,"867,845.70","350,195,522,080.61","1,626.45","805.00"
"SRTRANSFIN","1,295.70","1,304.50","8.80","0.68","1,304.50",6335,"8,264,007.50","242,639,933,771.63","1,340.20","431.37"
"ICICIPRULI","525.90","529.45","3.55","0.68","529.45",1763,"933,420.35","203,888,130,803.16","534.50","226.10"
